YEAR,SAVINGS
1970,61
1971,68.6
1972,63.6
1973,89.6
1974,97.6
1975,104.4
1976,96.4
1977,92.5
1978,112.6
1979,130.1
1980,161.8
1981,199.1
1982,205.5
1983,167
1984,235.7
1985,206.2
1986,196.5
1987,168.4
1988,189.1
1989,187.8
1990,208.7
1991,246.4
1992,272.6
1993,214.4
1994,189.4
1995,249.3
