year,cpi
2001,89.82
2002,89.64
2003,89.39
2004,90.83
2005,92.92
2006,93.48
2007,95.16
2008,98.51
2009,97.66
2010,98.6
2011,100
2012,101.93
2013,102.74
2014,103.97
2015,103.65
