YEAR,Y,
1971.3,1148.4,11484
1971.4,934.8,9348
1972.1,842.9,8429
1972.2,1007.9,10079
1972.3,924,9240
1972.4,886.2,8862
1973.1,621.6,6216
1973.2,825.3,8253
1973.3,803.8,8038
1973.4,747.6,7476
1974.1,591.1,5911
1974.2,795,7950
1974.3,613.4,6134
1974.4,586.8,5868
1975.1,316,3160
1975.2,587.2,5872
